Train_Start,Train_End,Test_End,Test_Return
2015-01-02,2018-01-02,2019-01-02,0.010501004108861345
2016-01-02,2019-01-02,2020-01-02,0.5166120060738684
2017-01-02,2020-01-02,2021-01-02,0.6878640389311841
2018-01-02,2021-01-02,2022-01-02,0.2410575856034769
2019-01-02,2022-01-02,2023-01-02,-0.07134309286915796
2020-01-02,2023-01-02,2024-01-02,0.13296031878836123
